Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Área do conhecimento CNPq,Tipos de acesso,Tipo de documento,Assuntos em português,Assuntos em inglês,Idioma,Resumo,Link de acesso,Resumo em Português,Resumo em Inglês,Referência Bibliográfica
"OLIVEIRA, Diego Henrique Paixão de",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Grande Sertão : veredas da cota rural na educação profissional,2020,Universidade Federal de Pernambuco (UFPE),UFPE,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Política pública||Programas de ação afirmativa||Cotas||Ensino profissional||Barreiros (PE),Não informado pela instituição,por,"SANTOS FILHO, Ranulfo Paranhos dos, também é conhecido em citações bibliográficas por: PARANHOS, Ranulfo","OLIVEIRA, Diego Henrique Paixão de. Grande Sertão: veredas da cota rural na educação profissional. 2020. Dissertação (Mestrado em Políticas Públicas) – Universidade Federal de Pernambuco, Recife, 2020.||https://repositorio.ufpe.br/handle/123456789/39042",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Camuso, Carla",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Aldeamento intelectual inserção de indígenas na educação profissional e tecnológica,2011,Universidade de Brasília (UnB),UNB,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Ensino profissional - índios - Porto Seguro (BA)||Índios - educação||Políticas públicas de ação afirmativa||Índios Pataxó,Não informado pela instituição,por,"Dissertaçaõ (mestrado)—Universidade de Brasília, Faculdade de Educação, 2011.","CAMUSO, Carla. Aldeamento intelectual inserção de indígenas na educação profissional e tecnológica. 2011. 165 f. Dissertação (Mestrado em Educação)-Universidade de Brasília, Brasília, 2011.||http://repositorio.unb.br/handle/10482/9458",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Souza, Margarida Prestes de",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Avaliação da Política de Ações Afirmativas do IFRS: construção coletiva de uma proposta de autoavaliação na educação profissional e tecnológica,2024,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul (IFRS)",IFRS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Ensino profissional||Políticas públicas,Não informado pela instituição,por,"A presente dissertação descreve a pesquisa de cunho qualitativo, aplicado e exploratório que teve como objetivo, compreender, analisar e promover alternativas para a implementação de uma proposta de avaliação da Políticas de Ações Afirmativas (PAAf) do Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul, que contribua para a sua consolidação. Investigou-se as possibilidades de construção coletiva, dessa proposta de avaliação, a partir do diálogo e escuta com a comunidade acadêmica do Campus Bento Gonçalves, local escolhido para a realização desta pesquisa, por se tratar de um dos campi da primeira fase, quando da criação dos Institutos Federais e por ter os núcleos de Ações Afirmativas implementados e consolidados. Considerou-se, para o recorte de pesquisa, os anos de 2021 a 2023. O público-alvo da pesquisa foram as coordenadoras dos núcleos de ações afirmativas, por serem as servidoras que melhor conhecem a temática: Núcleo de Atendimento às Pessoas com Necessidades Educacionais Específicas (Napne), Núcleo de Estudos Afro-brasileiros e Indígenas (Neabi) e Núcleo de Estudos e Pesquisas em Gênero e Sexualidade (Nepgs), No segmento discente participaram da pesquisa, três estudantes do Ensino Médio Integrado, beneficiados de alguma forma, pela Política de Ações Afirmativas do IFRS. Participaram ainda, dois docentes do Ensino Médio Integrado que têm interação com discentes atendidos pela PAAf e dois técnicos administrativos que desempenham suas funções junto à coordenação de assistência estudantil no Campus Bento Gonçalves do IFRS. Foram realizados estudos bibliográfico e documental que embasaram a pesquisa. As percepções dos atores participantes, acerca das ações desenvolvidas na implementação da Política, foram coletadas por meio de entrevista semiestruturada. Após a análise dos dados das entrevistas, de acordo com a técnica de Análise de Conteúdo, segundo Bardin (2016), do Ciclo de Políticas de Ball (2011) e demais etapas da pesquisa obtivemos as categorias finais: Formação continuada, Capacitação, Sensibilização, Ações Afirmativas, Avaliação da PAAf, Inclusão, diversidade, Acessibilidade, Auxílio estudantil, Apoio aos Núcleos de Ações Afirmativas, Acesso e Instituição Inclusiva. Com estas categorias foi possível construir uma matriz com os indicadores, além das questões formuladas como proposta de avaliação da PAAf. Essa matriz de indicadores foi inserida no Guia de Avaliação da Política de Ações Afirmativas do IFRS, Produto Educacional destinado a toda comunidade acadêmica do IFRS. O PE destina-se a fornecer orientações e informações detalhadas à comunidade acadêmica do IFRS, sobre a avaliação da Política de Ações Afirmativas do IFRS (PAAf), visando promover a inclusão, a diversidade e a igualdade na Instituição.",https://dspace.ifrs.edu.br/xmlui/handle/123456789/1487,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Budino, Nara Zari Lemos",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Ações afirmativas para a educação profissional e tecnológica: negros e negras no Colégio Técnico Industrial de Santa Maria,2019,Universidade Federal de Santa Maria (UFSM),UFSM,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Educação profissional e tecnológica||Educação étnico racial||História e cultura afro-brasileira||Educación profesional y tecnológica||Educación étnica racial||Historia y cultura afrobrasileña||CNPQ::CIENCIAS HUMANAS::EDUCACAO,Não informado pela instituição,por,"Esta investigación presenta un análisis de las políticas de acción afirmativa aplicadas a la educación profesional y tecnológica, específicamente con estudiantes del Colegio Técnico e Industrial de Santa María (CTISM). En 2003, se promulgó la Ley N ° 10.639 / 03, que hizo obligatoria la enseñanza de la historia y la cultura afrobrasileña y la historia africana en todos los niveles de educación básica en las escuelas públicas y privadas de todo Brasil. En 2012, para reservar vacantes para el ingreso de estudiantes que se declararon negros o marrones en las instituciones federales de educación secundaria técnica, se promulgó la Ley N ° 12.711 / 12. CTISM, como miembro de la red federal de educación profesional, ha estado aplicando las leyes mencionadas desde su entrada en vigor. Con este fin, la investigación analiza la presencia negra en el CTISM desde la fundación de la institución en 1967 hasta la actualidad. Se verificó, entonces, las condiciones antes y después de las acciones afirmativas dentro de esta escuela de educación profesional y tecnológica. Como fuente primaria utilizamos los diarios de clase de las disciplinas de las Humanidades; el número de estudiantes negros y marrones autodeclarados en el proceso de inscripción para el proceso de selección de CTISM desde 2012 (reserva de vacante) y el número de matriculados (aprobados) para cada curso técnico integrado en la escuela secundaria. Las fotografías de las primeras graduaciones del CTISM (1969- 1973) y las graduaciones después de la reserva de vacantes (2016-2017). Como fuentes secundarias se encuentran los cuadernos de los Ciclos de estudio sobre la cultura afrobrasileña, que contiene la investigación de los estudiantes del CTISM y el proyecto CEHCAB. Los resultados de la investigación mostraron que el número de estudiantes negros y marrones ha estado creciendo desde la implementación del sistema de reserva de vacantes, sin embargo, negros y marrones, todavía son superados en número en la institución investigada. Los profesores técnicos tienen poco interés en aplicar la Ley 10.639 / 03, dejando el tema restringido a la disciplina de Historia.",http://repositorio.ufsm.br/handle/1/19698,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Valente, Priscila de Pinho",Não informado pela instituição,"Cóssio, Maria de Fátima||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,As políticas de Ações Afirmativas: um estudo sobre a reserva de vagas e o direito à educação em um Instituto Federal de Educação Profissional e Tecnológica.,2016,Universidade Federal de Pelotas (UFPEL),UFPEL,Brasil,Faculdade de Educação,Programa de Pós-Graduação em Educação,CNPQ::CIENCIAS HUMANAS::EDUCACAO,openAccess,masterThesis,Política educacional||Educação profissional||Ações afirmativas||Educational policy||Professional education||Affirmative actions,Não informado pela instituição,por,"Considerando o lugar de destaque da Educação Profissional no cenário educacional do país, sobretudo na última década, esta dissertação relata os resultados de uma investigação que, situada no campo de pesquisa das políticas públicas para a educação, objetivou analisar a política de reserva de vagas na Educação Profissional, e sua relação com a garantia do direito ao acesso e permanência, através do estudo dos aspectos legais dessa política pública, das estratégias de permanência adotadas pela instituição e das expectativas dos estudantes. Estas temáticas são aprofundadas através de uma discussão mais ampla sobre as políticas públicas de educação, Ações Afirmativas, e sobre o contexto capitalista em que elas emergem, sinalizando para as suas crises e alternativas. Nesta perspectiva, este trabalho apresenta as reformas educacionais voltadas para a Educação Profissional que visam promover oportunidades de formação pessoal e, ao mesmo tempo, estimulam a iniciativa individual e a meritocracia, de acordo com os pressupostos do capitalismo contemporâneo. A análise das políticas educacionais neste momento é complexa, visto que se apresentam por vezes contraditórias, na medida em que anunciam mais democracia, mais igualdade, por um lado, mas por outro, identificam-se, claramente, com o ideário privatista, mercantil e gerencial ditado pelos organismos internacionais e pelo empresariado. Assim, analisar a política de reserva de vagas, no quadro da atual reforma educacional, implica em considerar os avanços e recuos da política. A pesquisa situa-se numa perspectiva qualitativa, com abordagem de estudo de caso, onde os sujeitos são alunos, que ingressaram pela reserva de vagas, e servidores de um Instituto Federal de Educação. Através da análise documental, entrevistas e questionários com os sujeitos, e com base na metodologia de análise de conteúdo, se buscará elucidar o problema de pesquisa verificando em que medida as estratégias de permanência adotadas pela instituição, atendem às perspectivas de ampliação da igualdade e do direito à Educação Básica, e às expectativas dos estudantes. Intenciona-se com esse estudo contribuir com a discussão sobre a avalição de políticas educacionais para a Educação Profissional. Entre os principais resultados alcançados no contexto desta pesquisa destaca-se o fato que os alunos que ingressam através da reserva de vaga não recebem uma atenção diferenciada dos demais ingressantes pelo acesso universal. Apesar dos servidores reconhecerem que o perfil destes alunos pressupõe a necessidade de um acompanhamento diferenciado, para evitar evasões e retenções, o mesmo não ocorre, sendo sua situação de cotista considerada apenas para fins de matricula. Assim, a inclusão à que se propõe a política de reserva de vagas neste Campus estudado acaba por se revelar excludente para estes alunos que chegam à instituição, com perfil diferenciado, uma vez que propõe igualdade de oportunidades, onde todos estariam no mesmo ponto de partida, mas não oferece um apoio capaz de fazer com que estes indivíduos se coloquem em igualdade de posições com os demais estudantes.",http://guaiaca.ufpel.edu.br/handle/prefix/7871,Não informado pela instituição,Não informado pela instituição,"VALENTE, Priscila de Pinho. As políticas de Ações Afirmativas: um estudo sobre a reserva de vagas e o direito à educação em um Instituto Federal de Educação Profissional e Tecnológica. 2016. 130f. Dissertação (Mestrado) - Programa de Pós-Graduação em Educação, Faculdade de Educação, Universidade Federal de Pelotas, Pelotas, 2016."
"DANTAS, Maria José Pereira",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Ações afirmativas na educação profissional técnica de nível médio: um estudo no IFPB - campus João Pessoa,2015,Universidade Federal de Pernambuco (UFPE),UFPE,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Programas de ação afirmativa||Ensino profissional||Relações raciais||Brasil.||Affirmative action||Vocational education||Racial inequalities||Socio-racial quotas||Brazil,Não informado pela instituição,por,"Esta dissertação parte da contextualização da presença do Estado na configuração de profunda exclusão na realidade brasileira, em especial da população negra. Discute os termos importantes na temática ações afirmativas com a inclusão de critérios étnico-raciais. Evidencia a historicidade das desigualdades raciais e educacionais no Brasil. Investiga a ação afirmativa implementada no Brasil, a partir da Lei das cotas (Lei 12.711/2012) e seus efeitos em cursos de Educação Profissional Técnica de Nível Médio (EPTNM), no Instituto Federal da Paraíba (IFPB), Campus João Pessoa, considerando esta lei como relevante intervenção do Estado no combate da profunda exclusão, notadamente, da população negra. A pesquisa de caráter quantitativo e qualitativo averigua indicadores de desempenho acadêmicos, além de analisar, por meio de entrevistas e grupos focais, o impacto dos programas de assistência estudantil neste desempenho, na visão da instituição e dos estudantes beneficiários. Constata que a combinação dos critérios escola pública, renda per capita e étnico-racial usados nas políticas de cotas garante o ingresso de estudantes autodeclarados pretos, pardos e índios, metade deles com renda menor ou igual a 1,5 salário mínimo. Contudo, com base nos resultados, é possível afirmar que na EPTNM a consolidação de impactos sociais positivos para os grupos socorraciais com desvantagens histórico-sociais depende da (1) manutenção do ingresso via cotas; (2) acesso dos cotistas aos programas de benefícios estudantis; e (3) de acompanhamento psicossocial, pedagógico e de orientação educacional.",https://repositorio.ufpe.br/handle/123456789/15608,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Padilha, Francieli Pedroso Gomes",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Políticas de ações afirmativas e de permanência de estudantes com deficiência nos campi do IFFAR,2022,Universidade Federal de Santa Maria (UFSM),UFSM,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Educação profissional e tecnológica||Políticas afirmativas||Deficiência||Inclusão||Professional and technological education||Affirmative policies||Deficiency||Inclusion||CNPQ::CIENCIAS HUMANAS::EDUCACAO,Não informado pela instituição,por,A data da defesa e a banca está de acordo com o que consta registrado na ata da defesa.,http://repositorio.ufsm.br/handle/1/27532,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Silva, Naiaranize Pinheiro da",Não informado pela instituição,"Ferreira, Rosilda Arruda||Não informado pela instituição",Não informado pela instituição,"Santos, Patrícia Lessa||Benevides, Silvio Cesar Oliveira||Vasconcelos, Edith Luzia de Almeida||Silva Filho, Penildon||Não informado pela instituição||Não informado pela instituição||Não informado pela instituição||Não informado pela instituição",Não informado pela instituição,Juventude e escola: a constituição dos sujeitos de direito no contexto das Políticas de Ações Afirmativas,2016,Universidade Federal da Bahia (UFBA),UFBA,brasil,Não informado pela instituição,Programa de Pós-Graduação em Educação,Educação,openAccess,doctoralThesis,"Programa de Ação Afirmativa||Juventude||Educação profissional||Instituto Federal de Educação, Ciência e Tecnologia da Bahia||Affirmative Action Program||Youth||Vocational education",Não informado pela instituição,por,"O debate sobre as ações afirmativas na educação tem muitos aspectos a serem explorados. Em uma sociedade caracterizada por um tipo de racismo que se camufla no mito da existência de uma democracia racial, discutir sobre cotas raciais na educação é penetrar em um terreno cheio de polêmicas e contradições. De outro lado, os estudos sobre juventude têm enfatizado a existência de muitas juventudes tendo em vista que as desigualdades, tanto as sociais como as étnico-raciais produzem diferentes modelos do que é ser jovem, não apenas no Brasil, mas em todo o mundo. Neste sentido, nosso objetivo com este estudo é estabelecer algumas relações entre juventude, ações afirmativas e educação detro do espaço escolar, elegendo como campo de observação os estudantes do Ensino Médio do IFBA, campus Salvador. Deste modo, iniciamos o estudo pela busca de compreender a própria educação profissional vigente na rede federal, a qual nos primeiros anos do século XXI viveu um intenso processo de transformações e crescimento. É este o contexto de implantação das ações afirmativas, implicando não apenas na ampliação da oferta, como também no ingresso de estudantes de variados grupos sociais, promovendo de certo modo uma maior democratização do acesso. A ampliação do acesso não se dá, entretanto, sem que esses “novos estudantes” passem a demandar um maior cuidado e atendimento ao que se faz na ampliação da Política de Assistência Estudantil dentro dos institutos e não apenas para o Ensino Superior como antes ocorria. Essas políticas voltadas à inclusão de grupos historicamente alijados da educação pública através da rede federal provocam novas reflexões sobre currículo, respeito à diversidade e sobre diversos aspectos que envolvem a permanência dos estudantes na escola. Assim, através da Análise do Discurso de orientação francesa, tomamos o discurso dos estudantes nos voltamos à reflexão sobre a adoção da Política de Ações afirmativas, tendo como foco os sentidos dados por esses jovens sujeitos ao direito à educação e como ele se configura na compreensão dos mesmos. Nesta análise se evidencia a permanência de sentidos já existentes em nossa sociedade manifestos em dicotomias identificadas no debate sociológico, como a dualidade raça/classe e exigência de melhoria da qualidade da escola pública.",http://repositorio.ufba.br/ri/handle/ri/19333,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Silva, Luana Rocha da",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,A implementação da lei das cotas e a discussão das ações afirmativas no IFRS,2014,Universidade do Estado do Rio de Janeiro (UERJ),UERJ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Affirmative action||Racial inequality||Professional education||Ações afirmativas||Desigualdade racial||Educação profissional||Ensino superior - Aspectos sociais||Programas de ação afirmativa||Serviço social||CNPQ::CIENCIAS SOCIAIS APLICADAS::SERVICO SOCIAL::SERVICO SOCIAL APLICADO::SERVICO SOCIAL DA EDUCACAO,Não informado pela instituição,por,"A presente dissertação tem como tema a implementação da lei das cotas e a discussão da política de Ações Afirmativas no IFRS. A identificação e análise da adoção de ações afirmativas frente à diminuição da desigualdade racial no Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul constituem o cerne dessa pesquisa. As indagações a respeito das contribuições das ações afirmativas no IFRS levaram a três questionamentos: o primeiro foi acerca da importância efetiva de existir uma política de ações afirmativas no âmbito da instituição; o segundo residiu sobre o porquê de uma política interna ter sido pensada apenas após a aprovação da lei 12.711/12; e o terceiro questionamento pairou sobre a efetividade do uso da lei das cotas e da política de ações afirmativas do IFRS como instrumentos sólidos de diminuição da desigualdade racial. Destarte, o objeto desta pesquisa foi analisar o impacto e a implementação desta política no IFRS na perspectiva de diminuição da desigualdade racial. Foram realizadas análises qualitativas através da utilização do método de observação participante nas reuniões do Grupo de Trabalho de Ações Afirmativas e análises socioeconômicas dos ingressantes via reserva de vagas no vestibular de inverno do campus Erechim e análise documental do documento base da política de ações afirmativas do IFRS. Foram também utilizadas análises quantitativas através dos dados, fornecidos pela instituição, dos estudantes no que concerne ao perfil racial. Os resultados mostraram que a utilização de cotas nos vestibulares de 2013 e 2014 evidenciou um aumento significativo de estudantes negros e em situação de vulnerabilidade socioeconômica, bem como a necessidade imediata de formação e capacitação dos servidores que executam a lei no cotidiano. Evidenciou também que a adoção das ações afirmativas não é consensual no âmbito da instituição e que tem sido executada, analisada e refletida junto a um jogo de correlação de forças aí existentes. Ainda que realizadas de forma pontual e sem sistematização adequada, a adoção de ações afirmativas no IFRS, tanto na forma obrigatória da execução da lei como nade forma não obrigatória - através da política interna de ações afirmativas, perpassam dois direitos fundamentais: direito à reparação e direito a condições mínimas de equidade no corpo discente de uma instituição pública.","SILVA, Luana Rocha da. A implementação da lei das cotas e a discussão das ações afirmativas no IFRS. 2014. 174 f. Dissertação (Mestrado em Política Social e Trabalho) - Universidade do Estado do Rio de Janeiro, Rio de Janeiro, 2014.||http://www.bdtd.uerj.br/handle/1/16028",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Chaves, Juliana Fátima da Silva",Não informado pela instituição,"Colling, Ana Maria||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Itinerários do SENAC/RS: olhares sobre as trajetórias de profissionais surdos(as),2011,Universidade La Salle (UNILASALLE),UNILASALLE,BR,Não informado pela instituição,Programa de Pós-Graduação em Educação (PPGEdu),Não informado pela instituição,openAccess,masterThesis,Educação profissional||Currículo||Acessibilidade||Inclusão||Ações afirmativas||Identidade||Representação||Poder,Não informado pela instituição,por,"O tema da presente dissertação propõe a discussão acerca das trajetórias de profissionais surdos contratados por meio da lei de cotas para pessoas com deficiência. O objetivo foi analisar os cenários que constituem estas trajetórias e como os sujeitos envolvidos no programa de qualificação oferecido pelo SENAC/RS as significam. A metodologia utilizada para capturar estes significados foram análise documental e entrevistas, com fundamentação teórica embasada nos estudos culturais em educação, sob a ótica curricular. O aprofundamento dos estudos possibilitou agrupar enunciados que constituem práticas discursivas em unidades de análise que correspondem a questões de identidade, representação e relações de poder imbricadas nas negociações desenvolvidas neste processo de inclusão e permanência do sujeito surdo no contexto profissional.",http://hdl.handle.net/11690/590,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
