Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Área do conhecimento CNPq,Tipos de acesso,Tipo de documento,Assuntos em português,Assuntos em inglês,Idioma,Resumo,Link de acesso,Resumo em Português,Resumo em Inglês,Referência Bibliográfica
"Beserra, Jane D’arc Feitosa de Carvalho Alves",http://lattes.cnpq.br/6327179977664808,"Caú, José Nildo Alves||Não informado pela instituição",http://lattes.cnpq.br/4432648278132554||Não informado pela instituição,"Caú, José Nildo Alves||Sousa, Bernardina Santos Araújo de||Cunha, Kátia Silva||Não informado pela instituição||Não informado pela instituição",http://lattes.cnpq.br/4432648278132554||http://lattes.cnpq.br/ 4929110097621126||http://lattes.cnpq.br/8333609070079117||Não informado pela instituição||Não informado pela instituição,Permanência escolar de estudantes cotistas no Ensino Médio Integrado à Educação Profissional: o que revelam os documentos e os sujeitos?,2023,"Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco (IFPE)",IFPE,Brasil,Olinda,"Programa de Pós-Graduação em Educação Profissional e Tecnológica - ProfEPT / Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco - IFPE",CIENCIAS HUMANAS::EDUCACAO::TOPICOS ESPECIFICOS DE EDUCACAO,openAccess,masterThesis,Educação – Aspectos Sociais||Permanência Escolar||Estudantes - desistência||Educação – Cotas||Ensino Médio Integrado||Educação Profissional e Tecnológica,Não informado pela instituição,por,"Essa pesquisa analisa os fatores que favorecem a permanência dos estudantes cotistas no Ensino Médio Integrado à Educação Profissional e Tecnológica (EPT) do Instituto Federal de Educação de Pernambuco (IFPE). O tema da permanência é importante para o desenvolvimento de pesquisas e formulação de políticas e programas educacionais. Com a implementação da Lei nº12.711/2012 e a Lei nº 13.409/2016, chamada de Lei de Cotas, ampliou-se o ingresso nas universidades federais e nas instituições federais de ensino técnico de nível médio dos estudantes oriundos das escolas públicas, pretos, pardos e indígenas e pessoas com deficiência. O problema de pesquisa assinala para a seguinte questão: Quais os fatores externo e interno que contribuem para a permanência escolar dos estudantes cotistas nos Cursos Técnicos de Nível Médio Integrado do IFPE? Optou-se pela abordagem qualitativa de cunho descritiva e explicativa; como instrumento de coleta de dados, foram utilizadas a pesquisa bibliográfica, a pesquisa documental e a pesquisa de campo. A bibliográfica, abordou-se a produção acadêmica do Núcleo de Acesso e Permanência na Educação, utilizou-se do Estado da Arte para mapear a produção acadêmica sobre a Permanência Escolar no Ensino Médio Integrado à Educação Profissional. Na análise documental realizou-se a pesquisa a partir das legislações educacionais em nível nacional e institucional, dando ênfase às normativas que regulamentam o Ensino Médio Integrado à Educação Profissional e estabelece a permanência dos jovens estudantes como um direito. Consultou-se os documentos que norteiam os programas, projetos de ensino, pesquisa, extensão do IFPE. Utilizou-se de questionários com perguntas abertas e fechadas, aplicados com os estudantes que ingressaram pelo sistema de cotas. Concluiu-se que os jovens estudantes relacionam a sua permanência ao esforço pessoal, a interação com os colegas, professores e servidores, aos programas e recursos da Assistência Estudantil, ao apoio da família. Reconhecem a importância dos programas de ensino, pesquisa e extensão, embora poucos tiveram oportunidade de participar efetivamente das atividades, já que esses estudantes iniciaram os cursos na pandemia. Como resultado da pesquisa, foi elaborado o Produto Educacional “Projeto e Protótipo do Site Observatório da Permanência no Ensino Médio Integrado”, sendo avaliado e aprovado pelos servidores, estudantes, pesquisadores e pela comunidade externa",https://repositorio.ifpe.edu.br/xmlui/handle/123456789/1185,Não informado pela instituição,Não informado pela instituição,"BESERRA, Jane D’arc Feitosa de Carvalho Alves. Permanência escolar de estudantes cotistas no Ensino Médio Integrado à Educação Profissional: o que revelam os documentos e os sujeitos? 2023. 183 f. Dissertação (Mestrado Profissional em Educação Profissional e Tecnológica) - Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco IFPE, Campus Olinda, Olinda, 2023."
"Cabral, Azenilda de Paula",https://lattes.cnpq.br/2105590300776746,"Rodrigues, Kleber Fernando||Não informado pela instituição",http://lattes.cnpq.br/5404409205728691||Não informado pela instituição,"Sousa, Bernardina Santos Araújo de||Torres, Vanessa Cavalcanti de||Rodrigues, Kleber Fernando||Não informado pela instituição||Não informado pela instituição",http://lattes.cnpq.br/4929110097621126||http://lattes.cnpq.br/6232711235861562||http://lattes.cnpq.br/5404409205728691||Não informado pela instituição||Não informado pela instituição,Um olhar sobre a contribuição da Educação Profissional e Tecnológica para o projeto de vida do jovem cotista do IFPE Campus Recife,2024,"Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco (IFPE)",IFPE,Brasil,Olinda,"Programa de Pós Graduação em Educação Profissional e Tecnológica (ProfEPT) - Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco",CIENCIAS HUMANAS::EDUCACAO::TOPICOS ESPECIFICOS DE EDUCACAO,openAccess,masterThesis,Educação – Aspectos Sociais||Educação – Trabalho||Juventude||Ações afirmativas - Cotas raciais||Inclusão||Educação Profissional e Tecnológica||Ensino Médio Integrado,Não informado pela instituição,por,"Esta pesquisa vislumbrou discutir o projeto de vida dos estudantes cotistas afrodescendentes da Educação Profissional e Tecnológica do Ensino Médio integrado do Instituto Federal de Pernambuco, Campus Recife. O referencial bibliográfico foi orientado pela Educação Profissional, Ensino Médio, Juventudes cotistas e Trabalho, que identificam o desejo dos jovens cotistas negros e pardos em sua construção futura, orientados por uma formação holística na preparação para a vida. Propondo o trabalho como princípio educativo, elencando em seus princípios garantias de uma formação unilateral, capaz de gerar sujeitos críticos e colaboradores da transformação social, apoiados nas práticas educativas transversais e interdisciplinares, com vistas à formação integral e inclusiva no mundo do trabalho, através da percepção do referido estudante do ensino médio. O estudo propôs uma abordagem qualitativa, sendo a pesquisa desenvolvida através de levantamento bibliográfico e documental, de acordo com as resoluções, diretrizes e normas que compõem os acervos públicos e discorrem sobre o assunto. Foi utilizada uma entrevista semiestruturada com sete estudantes cotistas afrodescendentes do Ensino Médio Integrado do IFPE, Campus Recife, a fim de identificar a percepção deles sobre as contribuições da Educação Profissional vivenciada e sua emancipação. Foi elaborada uma revista em quadrinhos digital, como produto educacional, contendo uma biografia com a história de vida dos cinco estudantes cotistas afrodescendentes entrevistados, sobre a construção do seu projeto de vida e sua relação com os referenciais bibliográficos e documentais estudados. A testagem desse produto foi realizada pelos discentes entrevistados do IFPE, que terão acesso ao material e avaliarão através de depoimentos se as informações estão pertinentes ao exposto na entrevista. A validação do produto educacional ocorrerá na apresentação final da dissertação.",https://repositorio.ifpe.edu.br/xmlui/handle/123456789/1300,Não informado pela instituição,Não informado pela instituição,"CABRAL, Azenilda de Paula. Um olhar sobre a contribuição da Educação Profissional e Tecnológica para o projeto de vida do jovem cotista do IFPE Campus Recife. 2024. 84 f. Dissertação (Mestrado Profissional em em Educação Profissional e Tecnológica) - Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco IFPE, Campus Olinda, Olinda, 2024."
"Pordeus, Angélica Gadelha",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,A importância do programa nacional de assistência estudantil para a permanência e o êxito acadêmico de estudantes cotistas no Instituto Federal de Educação da Paraíba,2019,Universidade Federal da Paraíba (UFPB),UFPB,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Assistência estudantil||PNAES||Sistema de cotas||Student assistance||Quota syste||CNPQ::CIENCIAS HUMANAS::EDUCACAO,Não informado pela instituição,por,"The present work has as its theme the Student Assistance Policy and the Quota System within the scope of the Federal Institute of Education of Paraíba - IFPB. The general objective was to analyze the importance of the National Program of Student Assistance - PNAES, implemented in the IFPB through the Student Assistance Policy, for the permanence and academic success of the student by quotas, with a view to the realization of rights. The intention was to make an analysis about the changes in performance, with an evaluation of its execution and relevant from the access to the speech, recording their expectations and provoking a critical debate about the conduct of such actions in the Institution. The delimitation of the course begins a historical part with the objective of carrying out a historical study on the evolution of the period 2003-2010, focusing on the PNAES. The Federal School of Vocational Education and the Policies of Quotas and Student Assistance, implemented and executed in the IFPB. The evaluation of the study in the survey method, the method in the historical performance, using the exploratory study, on the method, based on historical method. The field research was applied to the Bachelor of Electrical Engineering and the Degree in Chemistry of the IFPB, Campus João Pessoa, on the policy of student education and the system of admission by quotas. A questionnaire was used for the execution of data, which expressed ideas, needs and suggestions to improve and complement an existing policy. The results of this test were therefore necessary to identify the needs of the students that are directed to the relevant sectors, as well as, will be sent to the Rectory of Student Affairs (PRAE) of the IFP. . In the presented scenario, the importance of strengthening actions in attempts to attenuate as social unfoldings with a social, human, educational and cultural vision of the country stands out.",https://repositorio.ufpb.br/jspui/handle/123456789/19094,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Stroisch, Adriane, 1964-",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,A permanência e o êxito dos alunos cotistas dos cursos superiores do campo São José do Instituto Federal de Santa Catarina (2009-2010),2012,Universidade Estadual de Campinas (UNICAMP),UNICAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Educação||Políticas públicas||Programas de ação afirmativa||Inclusão||Education||Public policies||Action Programs Affirmative||Inclusion||Permanence,Não informado pela instituição,por,Orientador: Zacarias Pereira Borges,"https://hdl.handle.net/20.500.12733/1618480||STROISCH, Adriane. A permanência e o êxito dos alunos cotistas dos cursos superiores do campo São José do Instituto Federal de Santa Catarina (2009-2010). 2012. 227 p. Dissertação (mestrado) - Universidade Estadual de Campinas, Faculdade de Educação, Campinas, SP. Disponível em: https://hdl.handle.net/20.500.12733/1618480. Acesso em: 28 fev. 2025.",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Rodrigues, Alexandre Lopes",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Perfis sociais, percursos escolares, condições de permanência e perspectivas de futuro : o caso de cotistas de cursos técnicos integrados do IF Sudeste MG - Campus Muriaé",2021,Universidade Federal de Viçosa (UFV),UFV,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Programas de ação afirmativa na educação - Minas Gerais||Estudantes - Programas de assistência||Ensino técnico||Educação,Não informado pela instituição,por,"As políticas públicas denominadas Ações Afirmativas assumiram posição de destaque no Brasil ao longo dos últimos anos, sobretudo no âmbito da educação, com a implantação do sistema de cotas para ingresso nas universidades federais e nas instituições federais de ensino de nível médio técnico. A implantação de um sistema de cotas para ingresso nas instituições federais de ensino, acompanhado de mecanismos que contribuam para a permanência do aluno cotista, traz a perspectiva de tentar contribuir na consolidação do princípio da igualdade de oportunidades para todos. Essa pesquisa teve como objetivo principal identificar e analisar junto aos alunos cotistas de três dos quatro cursos técnicos integrados ofertados pelo Campus Muriaé do Instituto Federal de Educação, Ciência e Tecnologia do Sudeste de Minas Gerais quais as expectativas, assim como, as possíveis dificuldades e desafios enfrentados por estes alunos durante o curso, e as estratégias utilizadas para a superação dessas dificuldades. Para fins de coleta e análise dos dados, utilizou-se uma abordagem qualitativa. Os dados foram coletados a partir de documentos institucionais que traçam o perfil sócio econômico dos alunos e da realização de entrevista semiestruturada com uma amostra representativa do universo de alunos cotistas dos cursos em questão. Assim, neste trabalho, foram realizadas entrevistas com cinco estudantes. A análise dos dados coletados foi realizada tendo em vista a técnica análise de conteúdos (Bardin, 2011). Com base nessas análises, concluiu-se que a entrada num curso de formação técnica integrada traz grandes desafios para os estudantes, tanto em relação à necessidade de adaptação a um novo contexto educacional, quanto em relação ao apoio necessário para a sua permanência no curso. Constata-se que o IF Sudeste MG procura disponibilizar um conjunto de medidas que visam contribuir para a permanência dos estudantes. Essas contribuições ocorrem tanto pelo viés do apoio financeiro, por intermédio do Programa Nacional de Assistência Estudantil, quanto em termos de infraestrutura e apoio emocional. Além disso, percebe-se a preocupação com uma formação mais ampla e humanizada dos alunos, por parte da Rede Federal de Educação Profissional e Tecnológica, não se restringindo a uma qualificação estritamente voltada para a atividade laboral. Em termos de expectativas, nota-se uma maior preocupação por parte dos estudantes no sentido de se buscar uma graduação em nível superior ou a aprovação em um concurso público. Palavras-chave: Ações afirmativas. Cotas. Assistência ao estudante. Ensino técnico integrado.","RODRIGUES, Alexandre Lopes. Perfis sociais, percursos escolares, condições de permanência e perspectivas de futuro : o caso de cotistas de cursos técnicos integrados do IF Sudeste MG - Campus Muriaé . 2021. 136 f. Dissertação (Mestrado em Educação) - Universidade Federal de Viçosa, Viçosa. 2021.||https://locus.ufv.br//handle/123456789/27993",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Pereira, Paulo Sergio",http://lattes.cnpq.br/6033053163022501,"Souza, Nádia Maria Pereira de||Não informado pela instituição",Não informado pela instituição,"Souza, Nádia Maria Pereira de||Paiva, Liz Denize Carvalho||Barbosa, Jane Rangel Alves||Não informado pela instituição||Não informado pela instituição",Não informado pela instituição,A trajetória acadêmica no ensino superior de estudantes cotistas do Instituto Federal De Minas Gerais - Campus São João Evangelista – MG,2019,Universidade Federal Rural do Rio de Janeiro (UFRRJ),UFRRJ,Brasil,Instituto de Agronomia,Programa de Pós-Graduação em Educação Agrícola,Educação,openAccess,masterThesis,Egressos||Lei de Cotas nas Universidades||Ação afirmativa||Instituto Federal||Trajetória acadêmica,Graduates||University Quota Law||Affirmative Action||Federal Institute||Academic trajectory,por,"Esta pesquisa foi realizada no Instituto Federal de Minas Gerais Campus São João Evangelista (IFMG-SJE) com o objetivo de analisar a trajetória dos egressos cotistas do curso de Bacharelado em Agronomia do IFMG/SJE ingressantes por meio da Lei n° 12.711 de 2012 (BRASIL, 2012). O estudo teve ainda como propósitos, a caracterização do perfil dos estudantes, a descrição da trajetória de formação e do desempenho acadêmico, além das expectativas de inserção no mundo do trabalho destes egressos. O período delimitado foi de 2013 até o primeiro semestre de 2018, sendo a população composta por 40 ingressos e 13 concluintes. A pesquisa de natureza qualitativa utilizou técnicas de coletas de dados em distintos referenciais bibliográficos e documentais, como: Leis, Decretos-Leis, Resoluções, editais e documentos do registro escolar dos alunos nos setores da instituição de ensino. O estudo fez uso de um questionário misto de modo a facilitar o levantamento das informações pertinentes ao objetivo da pesquisa. Após a descrição, análise, interpretação e discussão dos dados, conclui-se que os discentes cotistas que fizeram parte deste estudo, demonstraram superação frente às adversidades, apresentando um bom desempenho no curso.",https://rima.ufrrj.br/jspui/handle/20.500.14407/12674,Não informado pela instituição,Não informado pela instituição,"PEREIRA, Paulo Sergio. A trajetória acadêmica no ensino superior de estudantes cotistas do Instituto Federal de Minas Gerais - Campus São João Evangelista - MG. 2019. 64 f. Dissertação (Mestrado em Educação Agrícola) - Instituto de Agronomia, Universidade Federal Rural do Rio de Janeiro, Seropédica, 2019."
"Silva, Josiane",http://lattes.cnpq.br/4138770108617713,"Nogueira, Renato||Não informado pela instituição",-||Não informado pela instituição,"Santos Junior, Renato Nogueira dos||Siss, Ahyas||Pereira, Amauri Mendes||Santos, Adilson Pereira dos||Vieira, José Jairo",-||http://lattes.cnpq.br/1745461007466177||http://lattes.cnpq.br/2005836026921987||http://lattes.cnpq.br/8540887895255246||http://lattes.cnpq.br/7504208613924588,"Josiane. “Para além do acesso, Preciso permanecer na universidade!”: Trajetória e estratégias dos cotistas negros na Universidade Federal de Juiz de Fora/MG",2022,Universidade Federal Rural do Rio de Janeiro (UFRRJ),UFRRJ,Brasil,Instituto de Educação||Instituto Multidisciplinar de Nova Iguaçu,"Programa de Pós-Graduação em Educação, Contextos Contemporâneos e Demandas Populares",Educação,openAccess,doctoralThesis,Cotas||Ensino superior||Negros||Permanência||Affirmative Actions||Quotas||Higher Education||Blacks||Permanence,Não informado pela instituição,por,"O presente texto de defesa tem como objetivo apresentar os resultados da pesquisa, desenvolvida no âmbito do Doutorado, que teve como objetivo investigar os diferentes desafios enfrentados por alunos cotistas negros, e suas estratégias de vivências/resistências em relação à permanência em uma universidade pública. O texto teve como lócus a Universidade Federal de Juiz de Fora (UFJF), Campus Juiz de Fora, como coparticipantes graduandos e graduados dos presenciais do referido Campus, que ingressaram considerando o recorte temporal 2008- 2018. Com relação aos procedimentos metodológicos, a pesquisa realizou questionário on-line e entrevistas na pespectiva de encontros narrativos (Silva, 2022) para analisar, sob a ótica dos universitários, as vivências individuais e experiências coletivas sobre o permanecer na universidade. A abordagem teórico-metodológica pautou-se no materialismo histórico dialético, para refletir como operam as políticas públicas em meio a contradições e desigualdades historicamente construídas e reforçadas. O método quali-quantitativo apresentou-se para conduzir os instrumentos de pesquisa aplicados e as análises decorrentes. Os dados levantados e as análises propiciadas fornecem fatores para afirmar que, embora as lutas de intelectuais e movimento negros tenham surtido efeito, dando corpo à formulação de políticas públicas e ações afirmativas, muito ainda precisa ser realizado a fim de garantir o aperfeiçoamento da Lei n.o 12.711/2012 – que apresenta, na verdade, uma subcota –, considerando critérios raciais, garantindo uma permanência qualificada das pessoas negras no ensino superior, conferindo, de fato, experiências de integração ao meio acadêmico.",https://rima.ufrrj.br/jspui/handle/20.500.14407/20171,Não informado pela instituição,Não informado pela instituição,"SILVA, Josiane. “Para além do acesso, Preciso permanecer na universidade!”: Trajetória e estratégias dos cotistas negros na Universidade Federal de Juiz de Fora/MG. 2022. 355 f. Tese (Doutorado em Educação, Contextos Contemporâneos e Demandas Populares) - Instituto de Educação/Instituto Multidisciplinar, Universidade Federal Rural do Rio de Janeiro, Seropédica/Nova Iguaçu, 2022."
"Bastos, Renato De Angeli Ferreira",http://lattes.cnpq.br/2500622732477074,"Bahia, Bruno Cardoso de Menezes||Não informado pela instituição",http://lattes.cnpq.br/0728241677912831||Não informado pela instituição,"Bahia, Bruno Cardoso de Menezes||Silva, André Romero da||Saleme, Estêvão Bissoli||Não informado pela instituição||Não informado pela instituição",http://lattes.cnpq.br/0728241677912831||http://lattes.cnpq.br/3079774974302460||http://lattes.cnpq.br/8757661847246456||Não informado pela instituição||Não informado pela instituição,"Política de cotas, função social e perfil socioeconômico dos estudantes ingressantes: uma análise do curso técnico em agropecuária do Instituto Federal do Espírito Santo – Campus Itapina",2021,Universidade Federal Rural do Rio de Janeiro (UFRRJ),UFRRJ,Brasil,Instituto de Agronomia,Programa de Pós-Graduação em Educação Agrícola,Educação,openAccess,masterThesis,Evasão||Cotistas||Ifes||Cursos técnicos||Políticas públicas,Evasion||Quota holders||Ifes||Technical courses||Public policies,por,"Por todo o Brasil, os campi dos Institutos Federais de Educação, Ciência e Tecnologia registram altos índices de evasão e fechamento de cursos desde suas fundações. No estado do Espírito Santo, as instituições passam por esses mesmos impasses. Nesse contexto, esta pesquisa tem como objetivo realizar um estudo de caso sobre a evasão escolar no Curso Técnico Integrado ao Ensino Médio em Agropecuária, da Escola Agrotécnica, do Instituto Federal do Espírito Santo (Ifes), Campus Itapina, distrito do município de Colatina, ao Norte do Estado, no período de 2016 a 2019. A pesquisa é de natureza bibliográfica, documental e estatística, com a finalidade de entender a amplitude do fenômeno da evasão entre os alunos cotistas, sob a visão administrativa e docente. O referencial teórico apoia-se em pesquisadores renomados acerca do referido assunto; e quanto à análise documental, utilizou-se a legislação federal que normaliza os Institutos Federais e os documentos internos do Ifes. O objetivo primário foi levantar as características do público evadido na referida unidade de ensino, no período anteriormente apontado. Embora não seja causa única, a pesquisa apontou que o fator econômico parece predominar sobre as demais razões geradoras dos altos índices de evasão, sendo muitas vezes acompanhado da incongruência na conciliação dos estudos com o trabalho, mesmo diante do entendimento, ainda que parcial, de que o curso proporcionará mais oportunidades de inserção no mercado de trabalho. Foi possível perceber que a cota social é uma importante ferramenta de inclusão social, uma vez que permite o ingresso de alunos das classes menos favorecidas a uma instituição reconhecidamente de qualidade. Além disso, percebe-se que a questão do acesso é o principal fator limitante quanto à presença de pobres, mulheres, índios e negros nessas instituições, já que o domínio do conteúdo e a sua posterior aprovação ficou evidente na interpretação dos dados.",https://rima.ufrrj.br/jspui/handle/20.500.14407/12961,Não informado pela instituição,Não informado pela instituição,"BASTOS, Renato De Angeli Ferreira. Política de cotas, função social e perfil socioeconômico dos estudantes ingressantes: uma análise do curso técnico em agropecuária do Instituto Federal do Espírito Santo – Campus Itapina. 2021. 96 f. Dissertação (Mestrado em Educação Agrícola) - Instituto de Agronomia, Universidade Federal Rural do Rio de Janeiro, Seropédica, 2021."
"Valente, Priscila de Pinho",Não informado pela instituição,"Cóssio, Maria de Fátima||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,As políticas de Ações Afirmativas: um estudo sobre a reserva de vagas e o direito à educação em um Instituto Federal de Educação Profissional e Tecnológica.,2016,Universidade Federal de Pelotas (UFPEL),UFPEL,Brasil,Faculdade de Educação,Programa de Pós-Graduação em Educação,CNPQ::CIENCIAS HUMANAS::EDUCACAO,openAccess,masterThesis,Política educacional||Educação profissional||Ações afirmativas||Educational policy||Professional education||Affirmative actions,Não informado pela instituição,por,"Considerando o lugar de destaque da Educação Profissional no cenário educacional do país, sobretudo na última década, esta dissertação relata os resultados de uma investigação que, situada no campo de pesquisa das políticas públicas para a educação, objetivou analisar a política de reserva de vagas na Educação Profissional, e sua relação com a garantia do direito ao acesso e permanência, através do estudo dos aspectos legais dessa política pública, das estratégias de permanência adotadas pela instituição e das expectativas dos estudantes. Estas temáticas são aprofundadas através de uma discussão mais ampla sobre as políticas públicas de educação, Ações Afirmativas, e sobre o contexto capitalista em que elas emergem, sinalizando para as suas crises e alternativas. Nesta perspectiva, este trabalho apresenta as reformas educacionais voltadas para a Educação Profissional que visam promover oportunidades de formação pessoal e, ao mesmo tempo, estimulam a iniciativa individual e a meritocracia, de acordo com os pressupostos do capitalismo contemporâneo. A análise das políticas educacionais neste momento é complexa, visto que se apresentam por vezes contraditórias, na medida em que anunciam mais democracia, mais igualdade, por um lado, mas por outro, identificam-se, claramente, com o ideário privatista, mercantil e gerencial ditado pelos organismos internacionais e pelo empresariado. Assim, analisar a política de reserva de vagas, no quadro da atual reforma educacional, implica em considerar os avanços e recuos da política. A pesquisa situa-se numa perspectiva qualitativa, com abordagem de estudo de caso, onde os sujeitos são alunos, que ingressaram pela reserva de vagas, e servidores de um Instituto Federal de Educação. Através da análise documental, entrevistas e questionários com os sujeitos, e com base na metodologia de análise de conteúdo, se buscará elucidar o problema de pesquisa verificando em que medida as estratégias de permanência adotadas pela instituição, atendem às perspectivas de ampliação da igualdade e do direito à Educação Básica, e às expectativas dos estudantes. Intenciona-se com esse estudo contribuir com a discussão sobre a avalição de políticas educacionais para a Educação Profissional. Entre os principais resultados alcançados no contexto desta pesquisa destaca-se o fato que os alunos que ingressam através da reserva de vaga não recebem uma atenção diferenciada dos demais ingressantes pelo acesso universal. Apesar dos servidores reconhecerem que o perfil destes alunos pressupõe a necessidade de um acompanhamento diferenciado, para evitar evasões e retenções, o mesmo não ocorre, sendo sua situação de cotista considerada apenas para fins de matricula. Assim, a inclusão à que se propõe a política de reserva de vagas neste Campus estudado acaba por se revelar excludente para estes alunos que chegam à instituição, com perfil diferenciado, uma vez que propõe igualdade de oportunidades, onde todos estariam no mesmo ponto de partida, mas não oferece um apoio capaz de fazer com que estes indivíduos se coloquem em igualdade de posições com os demais estudantes.",http://guaiaca.ufpel.edu.br/handle/prefix/7871,Não informado pela instituição,Não informado pela instituição,"VALENTE, Priscila de Pinho. As políticas de Ações Afirmativas: um estudo sobre a reserva de vagas e o direito à educação em um Instituto Federal de Educação Profissional e Tecnológica. 2016. 130f. Dissertação (Mestrado) - Programa de Pós-Graduação em Educação, Faculdade de Educação, Universidade Federal de Pelotas, Pelotas, 2016."
"DANTAS, Maria José Pereira",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Ações afirmativas na educação profissional técnica de nível médio: um estudo no IFPB - campus João Pessoa,2015,Universidade Federal de Pernambuco (UFPE),UFPE,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Programas de ação afirmativa||Ensino profissional||Relações raciais||Brasil.||Affirmative action||Vocational education||Racial inequalities||Socio-racial quotas||Brazil,Não informado pela instituição,por,"Esta dissertação parte da contextualização da presença do Estado na configuração de profunda exclusão na realidade brasileira, em especial da população negra. Discute os termos importantes na temática ações afirmativas com a inclusão de critérios étnico-raciais. Evidencia a historicidade das desigualdades raciais e educacionais no Brasil. Investiga a ação afirmativa implementada no Brasil, a partir da Lei das cotas (Lei 12.711/2012) e seus efeitos em cursos de Educação Profissional Técnica de Nível Médio (EPTNM), no Instituto Federal da Paraíba (IFPB), Campus João Pessoa, considerando esta lei como relevante intervenção do Estado no combate da profunda exclusão, notadamente, da população negra. A pesquisa de caráter quantitativo e qualitativo averigua indicadores de desempenho acadêmicos, além de analisar, por meio de entrevistas e grupos focais, o impacto dos programas de assistência estudantil neste desempenho, na visão da instituição e dos estudantes beneficiários. Constata que a combinação dos critérios escola pública, renda per capita e étnico-racial usados nas políticas de cotas garante o ingresso de estudantes autodeclarados pretos, pardos e índios, metade deles com renda menor ou igual a 1,5 salário mínimo. Contudo, com base nos resultados, é possível afirmar que na EPTNM a consolidação de impactos sociais positivos para os grupos socorraciais com desvantagens histórico-sociais depende da (1) manutenção do ingresso via cotas; (2) acesso dos cotistas aos programas de benefícios estudantis; e (3) de acompanhamento psicossocial, pedagógico e de orientação educacional.",https://repositorio.ufpe.br/handle/123456789/15608,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
