Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Área do conhecimento CNPq,Tipos de acesso,Tipo de documento,Assuntos em português,Assuntos em inglês,Idioma,Resumo,Link de acesso,Resumo em Português,Resumo em Inglês,Referência Bibliográfica
"Castro, Fabio Oliveira de [UNIFESP]",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Processo seletivo de ingresso no ensino médio integrado do instituto federal de São Paulo: análise crítica de dois modelos,2022,Universidade Federal de São Paulo (UNIFESP),UNIFESP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Processo seletivo||Ensino médio integrado||Ações afirmativas||Acesso e permanência||Institutos federais,Não informado pela instituição,por,"Esta dissertação tem como objetivo principal analisar os modelos de seleção utilizados nos processos seletivos dos cursos técnicos integrados ao ensino médio do Instituto Federal de Educação, Ciência e Tecnologia de São Paulo (IFSP) e a sua relação com o perfil socioeconômico e o desempenho acadêmico dos ingressantes. Historicamente, o IFSP utilizou a prova como modelo de seleção em seus processos seletivos de ingresso aos cursos técnicos. Esse modelo de seleção, somado à disparidade educacional entre as redes públicas e privadas, potencializava as chances de ingresso de alunos de escolas privadas e, em contrapartida, afastava o acesso de alunos oriundos de escolas públicas. A partir de 2017, por questões orçamentarias, a instituição passa a utilizar a análise de histórico escolar como modelo de seleção em seus certames. Para alguns segmentos da comunidade escolar, essa mudança poderia proporcionar o ingresso de alunos “menos capacitados”, que apresentariam mais dificuldades pedagógicas e sociais, as quais poderiam dificultar que conseguissem acompanhar o “ritmo de ensino da federal”, elevando o número de evasões e retenções. Diante do exposto, buscamos analisar se a escolha do modelo de seleção pela instituição pode potencializar, ou não, o acesso de alunos de escolas públicas ao IFSP, bem como averiguar qual seria o perfil dos candidatos e ingressantes submetidos a diferentes modelos de seleção. Observamos também a efetividade da aplicação da Lei n. 12711/12 (Lei de Cotas), implantada pelo IFSP nos editais de processo seletivo a partir de 2012, que assegurava 50% das vagas ofertadas a alunos que cursaram integralmente o ensino fundamental em escola pública. Analisamos dados quantitativos dos processos seletivos de 2010, 2016, 2018 e 2021, que utilizaram diferentes modelos de seleção, e variaram quanto a disponibilizar a reserva de vagas para alunos de escola pública. Para compreender as possíveis alterações nos perfis dos candidatos e ingressantes, utilizamos como lócus de nossa pesquisa o Campus São Paulo, unidade mais antiga do IFSP e que apresenta o maior número de inscritos dentre todos os campi do IFSP. Pudemos constatar a importância da Lei de Cotas na ampliação do acesso de estudantes oriundos de escolas públicas à Instituição e verificamos igualmente que a escolha do modelo de seleção de análise curricular contribuiu para que tivéssemos um número maior de aprovados egressos da rede pública. Percebemos, também, que a implantação da Lei de Cotas e a aplicação do modelo de análise curricular nos processos de seleção não proporcionaram o aumento de retenções e evasões dos cursos analisados. Identificamos a necessidade da divulgação do processo seletivo, de forma ampliada e regular, junto às escolas da rede pública, e a ampliação de ações afirmativas institucionais visando à ampliação do acesso de egressos da rede pública de ensino.",https://repositorio.unifesp.br/handle/11600/67157,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Tavares Junior, Paulo Roberto Faber",Não informado pela instituição,"Batista, Neusa Chaves||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,As disputas no processo de implementação da política de cotas para estudantes negras e negros no ensino médio integrado dos institutos federais : estudo de caso nos campi Canoas e Restinga do IFRS,2024,Universidade Federal do Rio Grande do Sul (UFRGS),UFRGS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Ações afirmativas||Ensino médio||Políticas públicas,Não informado pela instituição,por,"Neste estudo de caso, analisamos o contexto da prática na primeira década de implementação da Política de Cotas (2012-2022), para pessoas negras, sejam elas pretas ou pardas, nos campi Canoas e Restinga do IFRS, especificamente nos cursos técnicos de nível médio, na forma integrada ao ensino médio. A reitoria do IFRS também fez parte do campo de análise. Realizamos uma genealogia dos IFs na Rede EPT e sua relação com o tema, a partir de um estudo exploratório de editais e de um Estado da Questão, como parte da justificativa. Entrevistamos, a maioria de forma presencial, 42 pessoas, sendo 26 servidoras (professores/as e técnicos administrativos), que ocupam/ocuparam cargos de gestão (pró-reitorias ou diretorias) e/ou coordenação (setores, comissões, núcleos ou assessorias), vinculados ao processo seletivo e/ou as ações afirmativas. As outras 16 entrevistas foram realizadas com estudantes, cotistas e não cotistas, que aceitaram participar, a partir de convites enviados a todos/as estudantes do 3° e 4° ano. Utilizando a metodologia de Análise do Ciclo de Políticas, de forma intersecional a conceitos como raça, decolonialidade e justiça social, a pesquisa desvelou e analisou a arquitetura institucional, a forma como são construídos tais documentos no IFRS, quais os principais atores/grupos/setores que participam da implementação de forma mais direta (burocratas de nível de rua), quais seus perfis e atuação nas partes pouco discricionárias na Política de Cotas. A tese traz, do mesmo modo, contribuições sobre o contexto de influência da implementação, trazendo, por exemplo, as cotas para pessoas negras existentes em dois campi do IFRS, que diminuíram depois da Lei de Cotas. Também a forma como à reserva de vagas para pessoas negras não tem sido colocada como uma prioridade no IFRS, em detrimento do acesso universal e, inclusive, de outros grupos de AF. A tese analisa os mecanismos de adoção dos procedimentos normativos na sua relação com outras arquiteturas institucionais e os momentos de implementação da política de cotas para estudantes negras e negros no conjunto da Política de Ações Afirmativas do IFRS, a partir da percepção da comunidade acadêmica. Além disto, verifica o processo de construção da normatividade institucional da política, como um elemento potente de promoção de equidade racial no interior da instituição. O trabalho conclui que a implementação da Lei de Cotas no IFRS pode possibilitar apenas parcialmente uma institucionalidade de justiça social e de justiça racial, uma vez que os discentes e servidoras/es negras/os e antirracistas, tiveram pouca ou nenhuma participação efetiva na implementação da política, apesar de constarem na documentação da instituição. Nenhum dos 104 cargos de direção do IFRS foi destinado especificamente ao tema e inexiste um conselho antirracista, de ERER ou equivalente. Ao mesmo tempo, alguns dados quantitativos e entrevistas, deixam nítido que houve, no período, um maior acesso de estudantes negros à instituição, que guardam neles aposta a esperança de construção de um outro momento em que ela própria seja transformada, tornando-se um espaço em que estes estudantes possam sentir-se pertencentes e ela, capaz de produzir uma sociedade mais justa.",http://hdl.handle.net/10183/276887,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Blengini, Ana Paula da Graça Souza",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"O Ensino Médio Integrado: concepções, disputas e indeterminações",2012,Universidade do Estado do Rio de Janeiro (UERJ),UERJ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Integrated secondary education||Secondary education||Professional education||Educational reform||Polytechnic education||Unitary school||Ensino médio Brasil||Ensino profissional Brasil||Ensino técnico Brasil||Reforma de ensino Brasil||Ensino médio integrado||Reforma educacional||Educação politécnica||Escola unitária||CNPQ::CIENCIAS HUMANAS::CIENCIA POLITICA::POLITICAS PUBLICAS,Não informado pela instituição,por,"O presente trabalho tem por objetivo problematizar a concepção de Ensino Médio Integrado que fundamentou a revogação do Decreto n. 2.208/07 do governo Fernando Henrique Cardoso pelo de n. 5.154/04, promulgado durante a gestão presidencial de Luis Inácio Lula da Silva. Para isto, situa o tema no contexto das reformas educacionais dos anos de 1990 e 2000 à luz das transformações que marcam o capitalismo contemporâneo. Em seguida, considerando que a concepção de Ensino Médio Integrado afirma estar fundamentada sobre os conceitos de educação politécnica, escola unitária e formação omnilateral, busca resgatar os autores originais dessas ideias, quais sejam, Karl Marx, Antonio Gramsci e, no Brasil, principalmente Dermeval Saviani. Além disso, com base em Karl Marx e György Lukács, propõe uma breve discussão das premissas filosóficas sobre as quais o pensamento educacional desses autores se sustenta, a saber, a concepção de homem como ser social que se produz pela mediação do trabalho; e a concepção de ciência e/ou conhecimento como teleologias secundárias que se constituem na história como condição sine qua non para o contínuo desenvolvimento do gênero humano e da sociedade. Por fim, com base em textos oficiais do Ministério da Educação e em alguns textos acadêmicos de autores que estiveram diretamente envolvidos com este ministério, problematiza a concepção de Ensino Médio Integrado que atravessou o debate político sobre a revogação do Decreto n. 2.208/97. À guisa de conclusão, propõe algumas reflexões a respeito dos limites e possibilidades do Ensino Médio Integrado enquanto proposta de travessia para uma sociedade que tenha superado a divisão de classes, bem como suas virtudes e tensões frente à proposta de educação politécnica.","BLENGINI, Ana Paula da Graça Souza. O Ensino Médio Integrado: concepções, disputas e indeterminações. 2012. 113 f. Dissertação (Mestrado em Educação) - Universidade do Estado do Rio de Janeiro, Rio de Janeiro, 2012.||http://www.bdtd.uerj.br/handle/1/14904",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Santos, Danielle de Sousa, 1975-",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Democratização do acesso ao ensino médio integrado no IFSP : o contexto da implementação da Lei de reserva de vagas,2018,Universidade Estadual de Campinas (UNICAMP),UNICAMP,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Ensino médio||Ensino integrado||Programas de ação afirmativa na educação||Educação profissional||High school||Integrated teaching||Affirmative action programs in education||Professional education||Democratization of education,Não informado pela instituição,por,Orientador: Dirce Djanira Pacheco e Zan,"https://hdl.handle.net/20.500.12733/1634543||SANTOS, Danielle de Sousa. Democratização do acesso ao ensino médio integrado no IFSP: o contexto da implementação da Lei de reserva de vagas. 2018. 1 recurso online (232 p.) Tese (doutorado) - Universidade Estadual de Campinas, Faculdade de Educação, Campinas, SP. Disponível em: https://hdl.handle.net/20.500.12733/1634543. Acesso em: 28 fev. 2025.",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Silva, Jeferson Eduardo",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"O acesso e permanência de pessoas pretas, pardas e indígenas no ensino médio integrado do curso técnico em Agropecuária do Instituto Federal Goiano – Campus Ceres",2024,Instituto Brasileiro de Informação em Ciência e Tecnologia (Ibict),IBICT,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,"Inclusão educacional||Políticas afirmativas||Estudantes PPI||Ensino Médio Integrado,||Transformação social||Educação||Planejamento e Avaliação Educacional||Política Educacional",Não informado pela instituição,por,"Este estudo justifica-se pela relevância no contexto educacional brasileiro, abordando de maneira criteriosa o acesso e a persistência de estudantes pretos, pardos e indígenas (PPI) no ensino médio integrado ao curso técnico em agropecuária. O estudo foi realizado no Instituto Federal Goiano - Campus Ceres, lança luz sobre questões cruciais de inclusão e diversidade, fornecendo entendimentos significativos sobre as políticas educacionais, as experiências dos estudantes que acessaram a educação profissional e tecnológica por cotas PPI e os desafios enfrentados. A dissertação começa com uma contextualização histórica abrangente da educação profissional e tecnológica no Brasil. Essa retrospectiva é fundamental para compreender as políticas educacionais atuais e como elas foram moldadas ao longo dos anos, influenciadas por diversos fatores políticos, sociais e econômicos. A revisão bibliográfica destaca o papel transformador da educação na sociedade e a importância das políticas afirmativas na promoção da igualdade e inclusão de grupos historicamente marginalizados. O objetivo central da pesquisa é investigar os fatores que afetam o acesso e a permanência de estudantes pretos, pardos e indígenas no curso técnico em agropecuária do Instituto Federal Goiano - Campus Ceres. Para alcançar esse objetivo, foi adotada uma metodologia qualitativa que envolve entrevistas semiestruturadas com discentes, docentes e assistente educacional, bem como a análise de documentos e registros institucionais. Essa abordagem permite uma compreensão mais profunda e humanizada das experiências dos estudantes, indo além de meros dados estatísticos. Os resultados da pesquisa são reveladores e contribuem significativamente para o debate sobre educação inclusiva no Brasil, sendo analisados por meio de uma abordagem ampla dos dados. A dissertação demonstra que, apesar dos avanços nas políticas educacionais, ainda existem desafios consideráveis para a inclusão efetiva de estudantes pretos, pardos e indígenas. Questões como preconceito, falta de representatividade e dificuldades financeiras continuam a ser obstáculos significativos para esses discentes. No entanto, também são destacados aspectos positivos das políticas de inclusão, como o aumento no número de estudantes desses grupos em cursos técnicos e a valorização de suas identidades culturais dentro do ambiente escolar. A dissertação enfatiza a importância de políticas educacionais mais inclusivas e equitativas no Brasil, propondo caminhos para superar os desafios identificados. O estudo destaca a necessidade de medidas que combatam o preconceito, promovam a representatividade e ofereçam suporte financeiro adequado aos estudantes pretos, pardos e indígenas. Além disso, ressalta a importância de se manter um ambiente escolar que celebre a diversidade cultural e respeite as identidades destes discentes. Espera-se que este estudo seja uma leitura importante para educadores, formuladores de políticas públicas e todos aqueles interessados em uma educação verdadeiramente inclusiva e transformadora. Ademais, foi produzido, com a participação dos alunos participantes da pesquisa, um documentário que apresenta os desafios e as experiências dos estudantes cotistas no curso e na vida acadêmica dentro do IF Goiano – Campus Ceres.",https://deposita.ibict.br/handle/deposita/573,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Melo Neto, Antonio Jesus Souza",http://lattes.cnpq.br/2950459234165489,"Guimarães, Edilene Rocha||Não informado pela instituição",http://lattes.cnpq.br/4669859112084836||Não informado pela instituição,"Cordeiro, Eugênia de Paula Benício||Bezerra, Anna Giovanna Rocha||Não informado pela instituição||Não informado pela instituição||Não informado pela instituição",http://lattes.cnpq.br/7596954578610486||http://lattes.cnpq.br/3378610726646094||Não informado pela instituição||Não informado pela instituição||Não informado pela instituição,A produção textual em linhas de argumentação como prática integradora no Ensino Médio Integrado,2019,"Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco (IFPE)",IFPE,Brasil,Olinda,"Programa de Pós-Graduação em Educação Profissional e Tecnológica, (PROFEPT), do Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco",CIENCIAS HUMANAS::EDUCACAO::CURRICULO,openAccess,masterThesis,Educação - Prática de ensino||Currículo||Produção Textual||Práticas integradoras e interdisciplinaridade.||Formação integral e cidadania||Ensino Médio Integrado,Não informado pela instituição,por,"Esta pesquisa objetiva compreender a produção textual baseada em linhas de argumentação como prática curricular integradora, através do discurso do estudante do Curso Técnico em Informática Integrado ao Ensino Médio do Campus Esperança do Instituto Federal de Educação, Ciência e Tecnologia da Paraíba – IFPB. Especificamente, pretende: identificar, a partir dos documentos jurídicos e institucionais, o discurso sobre formação integral subjacente ao referido Curso; analisar o processo de identificação com a formação integral do sujeito-estudante desse Curso; elaborar um produto educacional de sequência didática interdisciplinar que utilize a produção textual em linhas de argumentação como prática curricular integradora, com vistas à formação integral dos estudantes do Ensino Médio Integrado. Esse produto foi testado por estudantes da terceira série do Curso Técnico em Informática Integrado ao Ensino Médio do Campus Esperança do IFPB (CTIIEM-IFPB-Esperança), que se configura como campo de pesquisa. A validação quanto à viabilidade desse produto educacional foi feita por meio de registro em portfólio dos estudantes participantes da testagem. O caminho teórico-metodológico adotado é a abordagem qualitativa, a partir de uma pesquisa participante, que apresenta como sujeitos os estudantes da terceira série do referido curso; como instrumento de coleta de dados, a análise documental; e como técnica de análise de dados, a Análise do Discurso Francesa. Os resultados da análise dos dados revelam que o discurso da construção de competências subjaz aos documentos institucionais que regem os currículos do IFPB; e permitem afirmar que a produção textual baseada em linhas de argumentação, ao problematizar e ressignificar as competências exigidas, pode funcionar como prática integradora com vistas à formação integral no Ensino Médio Integrado, tendo em vista que possibilita uma percepção mais completa e complexa do contexto escolar e social, por meio da integração entre sujeitos e saberes, conforme revela o discurso do sujeito-estudante do CTIIEM-IFPB-Esperança. Professores do Ensino Médio Integrado que buscam práticas integradoras através da produção textual argumentativa e interdisciplinar terão no produto educacional desta pesquisa uma estratégia pedagógica de significativo potencial.",https://repositorio.ifpe.edu.br/xmlui/handle/123456789/124,Não informado pela instituição,Não informado pela instituição,"MELO NETO, Antonio Jesus Souza. A produção textual em linhas de argumentação como prática integradora no Ensino Médio Integrado. 2019. 162 f. Dissertação (Mestrado Profissional em Educação Profissional e Tecnológica) - Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco IFPE, Campus Olinda, Olinda, 2019."
"Maia, José Eduardo Nobre",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Ensino médio integrado no ceará: construção da escola em tempo integral,2020,Universidade Federal Rural do Semi-Árido (UFERSA),UFERSA,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Educação integral||Tempo integral||Ensino Médio||Ceará||Integral education||Full-time||High school||Ceará||CIENCIAS HUMANAS::EDUCACAO::ENSINO-APRENDIZAGEM,Não informado pela instituição,por,"The present dissertation was intended to analyze the curricular and political reconstruction of the school proposal in full time, in the comprehension of the school context itself. The general objective of the study was: to analyze the challenges and possibilities for the construction of a full time school through the construction of high school integrated in the public school of Ceará. This objective was supported by the following specific objectives: a) Discuss the specificities of the teaching proposal based on the Full-time High Schools (EEMTI); b) Discuss the process of curriculum structuring of EEMTI; c) Evaluate the contributions and results of the process of building the EEMTI in a state school already established by the program; and d) To analyze the repercussions of the construction of the EEMTI from the perspective of managers and teachers, for the understanding of the unfolding in the teaching process and the processes of resignification. The theoretical-methodological scope of the study was the basis proposed by the Ball Policy Cycle approach. In this case study, we used a qualitative perspective with three approaches to data construction: document analysis, on-site observations and semi-structured interviews; and a quantitative approach, based on an analysis of the numerical results of the proposal. In this endeavor, contributions were produced from a poststructuralist theoretical view, seeking to understand the field of teaching resignifications, which express themselves as practices linked to policy cycles that intercommunicate and dispute between themselves formations of meanings. The information provided provided relevant data for the construction of important reflections, especially regarding the demands to face the challenges of the fulltime public school, as well as the strategies of policy reconstruction in each distinct school territory. Therefore, it is necessary to consider the experiences, opinions and different perspectives of all actors involved in politics, understood as active participants in the process of its construction, and it is necessary to understand and analyze politics as a practice. It seems feasible, therefore, to assert that full-time success comes not from the policy text, with its perfect goals and objectives, but from the action of managers, coordinators, teachers, students, and other community participants in carrying out creative and improvised actions and reconstructions. with the resource assigned to them.",https://doi.org/10.21708/bdtd.ppgee.dissertacao.5327||https://repositorio.ufersa.edu.br/handle/prefix/5327,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Souza, Carlos Eduardo de",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Conhecimento estético-artístico no Ensino Médio Integrado da RFEPCT: tensão para a formação humana omnilateral,2023,Universidade Federal do Espírito Santo (UFES),UFES,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Ensino Médio Integrado||Educação Profissional||Conhecimento estético-artístico||Marxismo||Educação,Não informado pela instituição,por,"Within the great theme “training subjects and aesthetic-artistic production as objectification of the human race”, this study sought to analyze the place occupied by aesthetic-artistic knowledge in Integrated Secondary Education (EMI) within the scope of the Federal Network of Professional Education, Science and Technology (RFEPCT). The thesis resorted to three main sources of data: 1) historiographical literature and records of scientific events; 2) regulations and laws enacted throughout the entire institutionalization of Professional Education in Brazil, especially from its link with Basic Education; and 3) the survey and study of texts (journals/journals, dissertations and theses) published between the years 2008 and 2020, having as object the teaching work at the EMI of the RFEPCT, focusing on aesthetic-artistic contents. The theoretical framework adopted is the Historical-dialectical Materialism, the Historical-Critical Pedagogy, the Historical-cultural Psychology and the critical writings on Vygotsky's art published between 1915 and 1925. In addition to its presence as a curricular component, knowledge aesthetic-artistic can be presented at EMI as experiences, stimulated by different projects (research and extension) carried out by Federal Institutes (IFs). This presence (which occurs in the midst of emptying) is threatened by Law 13.415/2017, which exempts Artistic Education in High School, and also by a set of ultraconservative actions and policies carried out by the “privatizing counter-network” that has taken over the MEC, with great penetration in the federal governments of Temer and Bolsonaro. In a logic of human capital formation or current employability, aesthetic-artistic knowledge proves to be “useless”. Contrary to this ideology and its more harmful effects on the formation of adolescents, considering also the IME as a “crossing” towards an omnilateral formation, we defend that the aesthetic-artistic content represents, in the set of other knowledges considered as “useless” (Philosophy , Physical Education, Sociology), a focus of tension that enhances this path, insofar as, in the face of pressures for merely professional training, it affirms the usefulness of knowledge considered, by the apologists of the national and international bourgeoisie, as “useless ” to workers and their children.",http://repositorio.ufes.br/handle/10/12504,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Silva, Maicon Donizete Andrade",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,A gestão tecnocrática e empresarial nas escolas estaduais de educação profissional integral do Ceará (2008 a 2023),2024,Universidade de Brasília (UnB),UNB,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Educação básica||Ensino médio integrado||Gestão da educação||Educação profissional,Não informado pela instituição,por,"Tese (doutorado) — Universidade de Brasília, Faculdade de Educação, Programa de Pós-Graduação em Educação, 2024.","SILVA, Maicon Donizete Andrade. A gestão tecnocrática e empresarial nas escolas estaduais de educação profissional integral do Ceará (2008 a 2023) . 2024. 302 f., il. Tese (Doutorado em Educação) — Universidade de Brasília, Brasília, 2024.||http://repositorio.unb.br/handle/10482/51143",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Santana, Natália Tibéria Veloso de",http://lattes.cnpq.br/6338771168686345,"Rodrigues, Kleber Fernando||Não informado pela instituição",http://lattes.cnpq.br/ 5404409205728691||Não informado pela instituição,"Rodrigues, Kleber Fernando||Souza, Bernardina Santos Araújo de||Torres, Vanessa Cavalcanti de||Não informado pela instituição||Não informado pela instituição",http://lattes.cnpq.br/ 5404409205728691||http://lattes.cnpq.br/ 4929110097621126||http://lattes.cnpq.br/ 6232711235861562||Não informado pela instituição||Não informado pela instituição,A Inclusão na Educação Profissional e Tecnológica: uma análise sobre o Núcleo de Atendimento às Pessoas com Necessidades Educacionais Específicas - NAPNE do IFPE,2024,"Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco (IFPE)",IFPE,Brasil,Olinda,"Programa de Pós-Graduação em Educação Profissional e Tecnológica, (PROFEPT), do Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco",CIENCIAS HUMANAS::EDUCACAO::ORIENTACAO E ACONSELHAMENTO,openAccess,masterThesis,Educação de pessoas com deficiências e necessidades especiais||Educação inclusiva||Políticas de ações afirmativas||Planejamento e desenvolvimento de políticas educacionais||Educação Profissional e Tecnológica||Ensino Médio Integrado,Não informado pela instituição,por,"O objetivo deste estudo é analisar o papel dos NAPNE do IFPE para a inclusão educacional de discentes com deficiência e/ou necessidades educacionais específicas, visando a produção de subsídios para a implementação e/ou aprimoramento de políticas institucionais de inclusão no contexto da EPT, em particular no IFPE. A abordagem foi realizada numa perspectiva qualitativa de caráter bibliográfico e exploratório. Neste sentido, foram utilizados como procedimentos metodológicos: pesquisa bibliográfica, análise documental, pesquisa de campo, coleta de dados, aplicação de questionário e entrevista semiestruturada com os coordenadores dos NAPNEs do IFPE. Com os dados levantados, foi possível desenvolver um Produto Educacional de inversão em formato de guia orientador para estruturação dos NAPNEs. Em sua realidade prática, entendemos que o tema da inclusão educacional das pessoas com deficiência é transversal e se dá por meio de situações que envolvem não somente parte da comunidade acadêmica, mas também a instituição como um todo, por meio do seu Projeto Político Pedagógico e das demais políticas que fundamentam sua identidade institucional. Diante de todos os entraves que a inclusão enfrenta no âmbito escolar e, para além das políticas públicas de acesso, no contexto da educação, as intervenções por meio de estudos acadêmicos são de suma importância para a conscientização da sociedade em geral e para a construção de uma escola inclusiva que acolha a diversidade humana e que contribua para a emancipação dos sujeitos. Por fim, os resultados apresentados contribuíram para o desenvolvimento de um guia orientador, que foi delineado a partir das necessidades apresentadas pelos núcleos do IFPE, de forma que represente para os profissionais do NAPNE um material norteador para auxiliar na estruturação dos núcleos, visando desenvolver o AEE, dentro das possibilidades institucionais, numa perspectiva de educação inclusiva comprometida com a qualidade do processo de ensino e aprendizagem de todos os estudantes.",https://repositorio.ifpe.edu.br/xmlui/handle/123456789/1495,Não informado pela instituição,Não informado pela instituição,"SANTANA, Natália Tibéria Veloso de. A Inclusão na Educação Profissional e Tecnológica: uma análise sobre o Núcleo de Atendimento às Pessoas com Necessidades Educacionais Específicas - NAPNE do IFPE. 157 f. 2024. Dissertação (Mestrado Profissional em Educação Profissional e Tecnológica, ProfEPT). Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco - IFPE, Campus Olinda, 2024."
